year,date,open_asian,high_asian,low_asian,close_asian,n_asian,range_pips_asian,net_pips_asian,open_post,high_post,low_post,close_post,n_post,range_pips_post,net_pips_post,gap_pips,continuation
2016,2016-10-04,101.671,102.491,101.658,102.396,540.0,83.29999999999984,72.49999999999943,102.397,102.966,102.282,102.831,897.0,68.39999999999975,43.39999999999975,0.10000000000047748,True
2016,2016-10-05,102.83,103.007,102.67,102.787,540.0,33.70000000000033,-4.299999999999216,102.783,103.666,102.783,103.481,891.0,88.29999999999956,69.79999999999933,-0.40000000000048885,False
2016,2016-10-06,103.48,103.738,103.348,103.689,540.0,39.00000000000006,20.899999999998897,103.691,104.157,103.456,103.951,896.0,70.09999999999934,25.99999999999909,0.20000000000095497,True
2016,2016-10-07,103.952,103.996,103.534,103.834,540.0,46.19999999999891,-11.7999999999995,103.835,103.91,102.857,102.875,780.0,105.29999999999973,-95.99999999999937,0.0999999999990564,True
2016,2016-10-10,103.073,103.255,102.807,103.178,538.0,44.79999999999933,10.500000000000398,103.18,103.784,103.1,103.66,890.0,68.40000000000117,47.99999999999898,0.20000000000095497,True
2016,2016-10-11,103.662,104.07,103.608,103.922,539.0,46.19999999999891,25.99999999999909,103.921,103.984,103.171,103.454,897.0,81.29999999999882,-46.700000000001296,-0.0999999999990564,False
2016,2016-10-12,103.452,103.677,103.279,103.53,540.0,39.800000000001035,7.800000000000296,103.526,104.48,103.404,104.262,898.0,107.60000000000076,73.60000000000042,-0.40000000000048885,True
2016,2016-10-13,104.265,104.634,103.554,103.867,537.0,107.99999999999983,-39.79999999999961,103.865,104.096,103.332,103.623,894.0,76.400000000001,-24.199999999999022,-0.20000000000095497,True
2016,2016-10-14,103.636,104.269,103.609,104.199,538.0,66.00000000000108,56.30000000000024,104.201,104.475,103.792,104.136,780.0,68.29999999999927,-6.499999999999773,0.19999999999953388,False
2016,2016-10-17,104.239,104.37,103.934,104.151,540.0,43.600000000000705,-8.800000000000807,104.152,104.305,103.762,103.855,887.0,54.30000000000064,-29.699999999999704,0.10000000000047748,True
2016,2016-10-18,103.854,104.126,103.68,103.987,539.0,44.599999999999795,13.299999999999557,103.989,104.198,103.741,103.877,892.0,45.69999999999936,-11.200000000000898,0.20000000000095497,False
