start_utc,dur_h,end_utc,n_days,avg_abs_net_pips,median_abs_net_pips,avg_er,avg_mae_pips,pct_in_10_20_band,avg_er_in_band,avg_mae_in_band
20,3,23,910,9.913516483516485,7.200000000000273,0.09381105315013492,4.874175824175816,25.054945054945055,0.14625799140695517,4.645614035087731
20,4,0,926,12.759179265658792,8.749999999999858,0.08089672508519144,6.155615550755953,26.241900647948164,0.10798266917769006,5.5613168724280175
21,1,22,721,5.868099861303752,4.5000000000001705,0.13391951335291322,3.1188626907073425,12.76005547850208,0.2535579581242872,2.8010869565217065
21,2,23,891,7.740291806958423,5.400000000000205,0.11180938106193002,3.9663299663299347,17.62065095398429,0.20429518890843779,3.214649681528543
21,3,0,906,11.011699779249472,7.099999999999795,0.0946055147887191,5.51214128035318,21.96467991169978,0.13688362202500437,4.893969849246197
21,4,1,914,14.83030634573309,10.39999999999921,0.08813046099766592,8.078446389496682,26.148796498905906,0.10458208408655204,7.350209205020846
22,1,23,705,6.613049645390005,4.200000000000159,0.14248434860245282,3.0377304964539142,14.042553191489363,0.2805539153849812,2.4454545454546093
22,2,0,768,10.866536458333366,7.299999999999329,0.1016758427869241,4.800651041666655,23.4375,0.1422681207069807,4.395000000000056
22,3,1,778,15.36131105398462,10.80000000000041,0.08607662916986525,8.038688946015368,25.449871465295633,0.0971575621515546,7.561616161616131
22,4,2,777,21.590990990991042,16.499999999999204,0.0756068754167881,11.334362934362902,23.166023166023166,0.06506079241455295,11.311666666666639
23,1,0,723,8.931396957123122,6.19999999999834,0.13433756117086704,3.843153526970966,19.91701244813278,0.20308273345914862,3.2541666666666123
23,2,1,776,13.851932989690743,9.600000000000364,0.09955886364831264,7.108376288659774,26.15979381443299,0.12006799441691976,6.199014778325174
23,3,2,777,20.427541827541884,15.600000000000591,0.08343954498835092,10.634234234234187,27.155727155727156,0.07601076271763837,10.445023696682359
23,4,3,780,23.977307692307704,17.150000000000887,0.06901304328438607,12.396153846153824,25.128205128205128,0.05457510962818818,12.383163265306168
